id,event_id,series_id
579,1616,2527
580,1617,2527
7649,14539,4473
581,1618,2527
2355,5540,2739
2356,5543,2739
2358,5573,2739
11,156,2338
604,1210,2529
2357,5566,2366
605,1611,2529
606,1612,2529
607,1613,2529
608,1614,2529
609,1615,2529
610,1641,2529
611,1642,2529
644,1664,2553
612,1643,2529
645,1665,2553
613,1644,2529
646,1666,2553
614,1645,2529
2359,5575,2739
615,1646,2529
616,1647,2529
2360,5582,2739
617,1648,2529
618,1649,2529
619,1650,2529
568,1595,2521
620,1651,2529
647,1667,2553
648,1668,2553
653,1679,2553
654,1683,2553
649,1669,2553
650,1675,2553
651,1676,2553
652,1678,2553
655,1684,2553
656,1685,2553
2361,5584,2739
657,1686,2553
658,1687,2553
659,1688,2553
660,1689,2553
661,1690,2553
709,1746,2553
710,1747,2553
711,1748,2553
712,1749,2553
713,1750,2553
714,1751,2553
727,1764,2553
728,1765,2553
787,1847,2563
788,1848,2563
789,1849,2563
790,1850,2565
791,1851,2565
792,1852,2565
2362,5585,2739
2363,5589,2739
1150,2335,2846
2364,5590,2739
2365,5591,2739
2366,5593,2739
2367,5595,2739
1151,2336,2846
1152,2337,2846
2368,5596,2739
582,1619,2527
583,1620,2527
584,1621,2527
585,1622,2527
586,1623,2527
621,1652,2529
622,1653,2529
623,1654,2529
624,1655,2529
625,1656,2529
569,1596,2521
570,1597,2521
571,1598,2521
572,1599,2521
573,1600,2521
574,1601,2521
691,1726,2553
2371,5601,2739
692,1727,2553
2372,5603,2739
693,1728,2553
2373,5606,2739
2374,5608,2739
4,192,2335
1897,4691,2757
6,242,2337
2381,5636,2761
2378,5621,3547
2382,5637,2746
2383,5647,2734
20909,42062,11683
10018,19546,2731
44926,84735,25423
2370,5598,3545
2376,5611,2752
1153,2338,2846
2384,5651,2746
3258,7307,2757
5010,10373,4032
6616,9155,4295
5011,10374,4032
7650,14540,4473
1093,2233,2759
1154,2340,2846
1683,3717,3209
46648,89173,26003
2369,5597,3545
3755,8219,3335
1684,3718,3209
694,1729,2553
3968,8906,3939
1685,3719,3209
2602,6154,3606
5012,10375,4032
8762,17058,4814
5013,10376,4032
9456,18485,5090
662,1691,2553
663,1692,2553
695,1730,2553
664,1693,2553
665,1700,2553
666,1701,2553
667,1702,2553
668,1703,2553
669,1704,2553
670,1705,2553
671,1706,2553
672,1707,2553
673,1708,2553
674,1709,2553
675,1710,2553
676,1711,2553
677,1712,2553
678,1713,2553
679,1714,2553
680,1715,2553
681,1716,2553
682,1717,2553
683,1718,2553
684,1719,2553
685,1720,2553
686,1721,2553
687,1722,2553
688,1723,2553
689,1724,2553
690,1725,2553
696,1731,2553
697,1734,2553
698,1735,2553
699,1736,2553
700,1737,2553
701,1738,2553
702,1739,2553
703,1740,2553
704,1741,2553
705,1742,2553
706,1743,2553
707,1744,2553
708,1745,2553
7710,14665,3923
1155,2341,2846
5950,12170,4177
8860,17333,4863
1156,2342,2846
2491,5975,3587
2490,5974,3587
3009,6811,3663
1157,2343,2846
1158,2344,2846
1159,2345,2846
1160,2346,2846
4674,9840,3924
766,1805,2553
837,1911,2577
838,1912,2577
746,1785,2553
747,1786,2553
748,1787,2553
749,1788,2553
750,1789,2553
751,1790,2553
752,1791,2553
753,1792,2553
754,1793,2553
755,1794,2553
756,1795,2553
757,1796,2553
758,1797,2553
2450,5904,3587
759,1798,2553
760,1799,2553
2449,5903,3587
18213,35710,8115
2448,5902,3587
1686,3720,3209
2637,6283,3209
2658,6304,2753
2447,5901,3587
2446,5900,3587
2445,5899,3587
2444,5898,3587
3086,6821,3670
6595,13046,4267
30,280,2339
12,243,2339
2430,5832,3518
761,1800,2553
762,1801,2553
763,1802,2553
764,1803,2553
765,1804,2553
951,2046,2616
839,1913,2577
2418,5819,2759
2354,5523,2759
1756,4059,3236
1755,4058,3236
7651,14544,4495
827,1901,2574
1161,2347,2846
828,1902,2574
829,1903,2574
2394,5700,3554
2395,5705,3559
2811,6536,3654
830,1904,2577
2399,5719,2758
831,1905,2577
832,1906,2577
833,1907,2577
834,1908,2577
835,1909,2577
836,1910,2577
840,1914,2577
841,1915,2577
842,1916,2577
843,1917,2577
844,1918,2577
845,1919,2577
846,1920,2577
847,1921,2577
848,1922,2577
849,1923,2577
850,1924,2577
15851,29679,7558
3657,7948,3776
851,1925,2577
852,1926,2577
2438,5882,3583
2401,5734,2758
1162,2348,2846
2402,5735,2734
1163,2349,2846
2396,5714,2762
15747,29645,3581
1164,2350,2846
1165,2351,2846
1166,2353,2846
3969,8907,3939
715,1752,2553
16695,31925,6198
716,1753,2553
717,1754,2553
718,1755,2553
719,1756,2553
720,1757,2553
721,1758,2553
722,1759,2553
723,1760,2553
724,1761,2553
725,1762,2553
726,1763,2553
729,1766,2553
730,1767,2553
731,1768,2553
3261,7324,3756
3658,7950,3776
732,1769,2553
1171,2366,2846
2808,6500,3650
2702,6348,3209
1091,2220,2739
2803,6492,3638
1095,2234,2760
2385,5652,2746
733,1770,2553
734,1772,2553
735,1773,2553
736,1774,2553
737,1775,2553
738,1776,2553
739,1777,2553
740,1778,2553
741,1779,2553
742,1780,2553
743,1782,2553
744,1783,2553
745,1784,2553
1889,4676,3282
2393,5689,2759
3659,7952,3776
37481,68370,20153
2398,5717,3564
2812,6538,3655
2400,5733,2758
2813,6543,2359
1965,4779,2734
36,164,2344
3010,6812,3663
3259,7308,2757
2700,6344,3209
2807,6499,3649
2806,6498,3649
2810,6529,3653
2386,5653,3549
2802,6491,3638
2804,6493,3638
47794,91860,19374
779,1837,2560
780,1838,2560
781,1839,2560
782,1840,2560
783,1841,2560
784,1842,2560
853,1927,2577
854,1928,2577
855,1929,2577
856,1930,2577
857,1931,2577
2809,6501,3650
2814,6550,3656
3011,6813,3663
3089,6879,3688
3660,7953,3776
3661,7954,3776
3662,7956,3776
3663,7957,3776
1180,2376,2861
3664,7958,3776
3665,7959,3776
3666,7960,3776
3667,7961,3776
1962,4774,2755
4344,9422,2754
3668,7962,3776
3669,7963,3776
1181,2377,2861
3670,7964,3776
16699,31969,4707
1182,2378,2861
3671,7965,3776
1172,2367,2846
1183,2379,2861
1184,2380,2861
3672,7966,3776
3673,7967,3776
1185,2381,2861
3674,7968,3776
3675,7969,3776
1186,2382,2861
1187,2383,2861
1188,2384,2861
3676,7970,3776
1694,3729,3209
3677,7971,3776
2635,6281,3209
3678,7972,3776
3679,7973,3776
1173,2369,2846
1174,2370,2846
1175,2371,2846
1176,2372,2846
1177,2373,2846
1178,2374,2846
1179,2375,2846
3680,7974,3776
3681,7975,3776
822,1895,2573
823,1896,2573
824,1897,2573
3682,7976,3776
3683,7977,3776
4345,3256,2754
928,2023,2616
3262,7315,3756
3263,7316,3756
3264,7317,3756
3265,7318,3756
3266,7319,3756
3267,7320,3756
3268,7321,3756
3269,7314,3756
3270,7310,3756
929,2024,2616
930,2025,2616
3271,7313,3756
931,2026,2616
932,2027,2616
933,2028,2616
934,2029,2616
935,2030,2616
3272,7322,3756
626,1657,2529
627,1658,2529
628,1659,2529
629,1660,2529
630,1661,2529
631,1662,2529
632,1663,2529
3273,7311,3756
3274,7312,3756
2387,5654,2746
936,2031,2616
937,2032,2616
3970,8908,3939
938,2033,2616
46649,89173,26004
923,2017,2616
5014,10402,2448
4675,9841,3924
5016,10406,4032
5017,10407,4032
5018,10408,4032
5019,10409,4032
5020,10410,4032
5021,10411,4032
5022,10412,4032
5023,10414,4032
5024,10415,4032
5025,10416,4032
5026,10417,4032
5027,10418,4032
5028,10419,4032
5029,10420,4032
48409,93237,5812
17543,34235,7110
924,2018,2616
925,2019,2616
926,2021,2616
1190,2386,2861
2626,6233,3209
802,1853,2573
803,1854,2573
804,1855,2573
805,1856,2573
806,1857,2573
807,1858,2573
808,1859,2573
809,1879,2573
810,1882,2573
811,1883,2573
812,1885,2573
813,1886,2573
814,1887,2573
815,1888,2573
816,1889,2573
817,1890,2573
818,1891,2573
819,1892,2573
820,1893,2573
821,1894,2573
5015,10404,2763
1966,4781,2734
825,1898,2573
826,1899,2573
927,2022,2616
939,2034,2616
940,2035,2616
941,2036,2616
942,2037,2616
943,2038,2616
944,2039,2616
945,2040,2616
946,2041,2616
947,2042,2616
948,2043,2616
949,2044,2616
950,2045,2616
2627,6234,3209
1748,3740,3209
1749,3742,3209
1766,4120,3209
1191,2387,2861
1672,3703,3209
3092,6901,3691
1691,3726,3209
1692,3727,3209
1693,3728,3209
