id,event_id,place_id
2013,2304,7550
2015,2308,2031
2069,2361,5874
2068,2360,2399
2149,2432,9655
2019,1980,8851
2020,194,8851
2027,2314,9407
2084,2366,8566
2153,2438,3008
2086,2368,9198
2202,2493,1767
2083,2364,8175
2188,2475,836
2036,2323,9442
2037,2324,9442
2038,2325,9442
2116,2398,9583
2045,2335,8838
2194,2482,9726
33330,37887,1618
2135,2417,8839
2136,2418,8839
2049,2340,8839
2197,2486,1085
2067,2359,9499
2145,2428,8713
2147,2430,8579
2070,291,5925
2071,252,5925
2072,279,5925
2073,142,5925
2074,196,5925
2075,207,5925
2076,216,5925
2196,2484,9734
2087,2369,834
2109,2391,8713
2201,2490,9799
104225,118148,84843
2140,2423,8870
2142,2425,836
2156,2443,8592
125,132,6758
169,343,796
1656,1948,8560
2050,2341,8839
68253,78110,23724
201,375,846
1670,1971,3306
212,386,1253
1671,1972,3306
40769,47408,3846
223,397,2486
1755,2066,8978
2189,2476,8550
51439,59459,38173
21817,24650,11309
1533,1817,8825
1700,2010,8936
1339,1598,803
2250,2554,2306
1347,1613,8704
68575,78446,2253
68578,78449,49764
1378,1644,8718
1383,1649,8724
1418,1692,8744
1425,1703,8773
1459,1738,8800
1496,1776,8575
1528,1809,4365
51664,59774,12810
1549,1839,3825
1557,1847,829
96803,110159,60039
2078,140,9519
2079,303,9519
1573,1830,7820
1590,1883,832
1616,1909,8850
1754,2065,729
1565,1855,3365
1710,2020,824
1722,2032,8584
1748,2059,8960
1848,2161,9007
1853,2167,1452
1764,2076,782
1779,2091,9004
1817,2131,2601
1828,2140,830
1355,1621,8708
1925,2226,9254
2152,2435,9660
1994,2289,911
2085,2367,8560
2010,2301,773
1888,143,9216
2154,2439,9679
2392,2693,1767
2444,2747,1767
1985,2266,5925
2039,2327,9443
2041,2330,9444
2044,2333,1581
1999,2294,9341
2088,2370,8863
2506,2810,1767
2016,2309,3632
2021,249,9398
2022,281,9398
2023,259,9398
2028,2315,3462
2557,2862,1767
2597,2902,1767
2213,2516,1767
2046,2336,8564
3352,3948,8413
33331,37888,1618
